0,1
Datasets\Medicines\words\MefenamicAcid_1_2443.png,MefenamicAcid
Datasets\Medicines\words\Dapotin_1_68.png,Dapotin
Datasets\Medicines\words\CoAmoxiclav_1_2619.png,CoAmoxiclav
Datasets\Medicines\words\Isoprinosine_1_2536.png,Isoprinosine
Datasets\Medicines\words\MaxproMups_1_364.png,MaxproMups
Datasets\Medicines\words\Lubistone_1_1414.png,Lubistone
Datasets\Medicines\words\Multivitamins_1_2878.png,Multivitamins
Datasets\Medicines\words\Maxima_1_3168.png,Maxima
Datasets\Medicines\words\CasaltD_1_4062.png,CasaltD
Datasets\Medicines\words\Sultamicillin_1_2034.png,Sultamicillin
Datasets\Medicines\words\Renova_1_3278.png,Renova
Datasets\Medicines\words\Doxicap_1_3133.png,Doxicap
Datasets\Medicines\words\CoAmoxiclav_1_2662.png,CoAmoxiclav
Datasets\Medicines\words\Deflux_1_4071.png,Deflux
Datasets\Medicines\words\Pantonix_1_3858.png,Pantonix
Datasets\Medicines\words\Atropin_1_3409.png,Atropin
Datasets\Medicines\words\MefenamicAcid_1_2115.png,MefenamicAcid
Datasets\Medicines\words\MefenamicAcid_1_2367.png,MefenamicAcid
Datasets\Medicines\words\Tofen_1_3549.png,Tofen
Datasets\Medicines\words\Napa_1_539.png,Napa
Datasets\Medicines\words\Cefotil_1_1338.png,Cefotil
Datasets\Medicines\words\SolvitB_1_3622.png,SolvitB
Datasets\Medicines\words\Bicozin_1_3162.png,Bicozin
Datasets\Medicines\words\Napa_1_3728.png,Napa
Datasets\Medicines\words\Furex_1_669.png,Furex
Datasets\Medicines\words\Isovent_1_3336.png,Isovent
Datasets\Medicines\words\Salbutamol_1_2105.png,Salbutamol
Datasets\Medicines\words\Cevit_1_837.png,Cevit
Datasets\Medicines\words\Pedeamin_1_484.png,Pedeamin
Datasets\Medicines\words\Telide_1_507.png,Telide
Datasets\Medicines\words\LinatabE_1_1768.png,LinatabE
Datasets\Medicines\words\Sulprex_1_819.png,Sulprex
Datasets\Medicines\words\Kidcare_1_1445.png,Kidcare
Datasets\Medicines\words\Cefuroxime_1_2193.png,Cefuroxime
Datasets\Medicines\words\Nebulization_1_3253.png,Nebulization
Datasets\Medicines\words\TTvax_1_3923.png,TTvax
Datasets\Medicines\words\Gabarol_1_1494.png,Gabarol
Datasets\Medicines\words\Ramoril_1_1259.png,Ramoril
Datasets\Medicines\words\Xfin_1_1607.png,Xfin
Datasets\Medicines\words\Napadol_1_3999.png,Napadol
Datasets\Medicines\words\MefenamicAcid_1_2481.png,MefenamicAcid
Datasets\Medicines\words\Dexlan_1_13.png,Dexlan
Datasets\Medicines\words\Cefim-3_1_483.png,Cefim-3
Datasets\Medicines\words\MetarinXR_1_798.png,MetarinXR
Datasets\Medicines\words\Paracetamol_1_2413.png,Paracetamol
Datasets\Medicines\words\Flamex_1_464.png,Flamex
Datasets\Medicines\words\TranexamicAcid_1_2560.png,TranexamicAcid
Datasets\Medicines\words\Fexo_1_3797.png,Fexo
Datasets\Medicines\words\Paloxi_1_426.png,Paloxi
Datasets\Medicines\words\TranexamicAcid_1_3036.png,TranexamicAcid
Datasets\Medicines\words\Viset_1_542.png,Viset
Datasets\Medicines\words\TicametInhaler_1_234.png,TicametInhaler
Datasets\Medicines\words\Airflow_1_292.png,Airflow
Datasets\Medicines\words\FolicZ_1_199.png,FolicZ
Datasets\Medicines\words\Deflux_1_807.png,Deflux
Datasets\Medicines\words\Emistat_1_446.png,Emistat
Datasets\Medicines\words\CoAmoxiclav_1_1963.png,CoAmoxiclav
Datasets\Medicines\words\CoAmoxiclav_1_2753.png,CoAmoxiclav
Datasets\Medicines\words\Methipred_1_1439.png,Methipred
Datasets\Medicines\words\Sultolin_1_951.png,Sultolin
Datasets\Medicines\words\Vitabion_1_1676.png,Vitabion
Datasets\Medicines\words\MefenamicAcid_1_3022.png,MefenamicAcid
Datasets\Medicines\words\Esotid_1_1630.png,Esotid
Datasets\Medicines\words\LinatabM_1_1189.png,LinatabM
Datasets\Medicines\words\Esipram_1_700.png,Esipram
Datasets\Medicines\words\Cefixime_1_2497.png,Cefixime
Datasets\Medicines\words\Cloxacillin_1_2063.png,Cloxacillin
Datasets\Medicines\words\Amoxicillin_1_2416.png,Amoxicillin
Datasets\Medicines\words\Bicozin_1_3608.png,Bicozin
Datasets\Medicines\words\Azithromycin_1_2795.png,Azithromycin
Datasets\Medicines\words\Lipicon_1_1721.png,Lipicon
Datasets\Medicines\words\Viodin_1_1699.png,Viodin
Datasets\Medicines\words\Inosine_1_1901.png,Inosine
Datasets\Medicines\words\Epnil_1_3755.png,Epnil
Datasets\Medicines\words\AbetisPlus_1_157.png,AbetisPlus
Datasets\Medicines\words\CoralcalDX_1_425.png,CoralcalDX
Datasets\Medicines\words\Paracetamol_1_1849.png,Paracetamol
Datasets\Medicines\words\Virux_1_3394.png,Virux
Datasets\Medicines\words\Omidon_1_4003.png,Omidon
Datasets\Medicines\words\Byloza_1_1678.png,Byloza
Datasets\Medicines\words\Finix_1_368.png,Finix
Datasets\Medicines\words\Maxpro_1_3884.png,Maxpro
Datasets\Medicines\words\Paracetamol_1_2837.png,Paracetamol
Datasets\Medicines\words\NintoinSR_1_1321.png,NintoinSR
Datasets\Medicines\words\Dexlan_1_392.png,Dexlan
Datasets\Medicines\words\Xeldrin_1_1168.png,Xeldrin
Datasets\Medicines\words\AscorbicAcid_1_2247.png,AscorbicAcid
Datasets\Medicines\words\Bactrocin_1_1544.png,Bactrocin
Datasets\Medicines\words\Guiafenesin-Salbutamol_1_2257.png,Guiafenesin-Salbutamol
Datasets\Medicines\words\Sergel_1_160.png,Sergel
Datasets\Medicines\words\Todol_1_3413.png,Todol
Datasets\Medicines\words\Efodio_1_3621.png,Efodio
Datasets\Medicines\words\HaemozinTR_1_1363.png,HaemozinTR
Datasets\Medicines\words\Aceclofenac_1_2166.png,Aceclofenac
Datasets\Medicines\words\Augment_1_3375.png,Augment
Datasets\Medicines\words\Sultamicillin_1_2226.png,Sultamicillin
Datasets\Medicines\words\Salbutamol_1_2216.png,Salbutamol
Datasets\Medicines\words\Xenosal_1_3835.png,Xenosal
Datasets\Medicines\words\Furocef_1_530.png,Furocef
Datasets\Medicines\words\Folison_1_1370.png,Folison
Datasets\Medicines\words\Fenadin_1_1695.png,Fenadin
Datasets\Medicines\words\Amoxicillin_1_2525.png,Amoxicillin
Datasets\Medicines\words\Gavilac_1_1454.png,Gavilac
Datasets\Medicines\words\Budicort_1_1079.png,Budicort
Datasets\Medicines\words\Ciprofloxacin_1_3086.png,Ciprofloxacin
Datasets\Medicines\words\SpirocardPlus_1_1374.png,SpirocardPlus
Datasets\Medicines\words\Paloxi_1_1594.png,Paloxi
Datasets\Medicines\words\Fexofast_1_3989.png,Fexofast
Datasets\Medicines\words\Anil_1_3273.png,Anil
Datasets\Medicines\words\Bislol_1_558.png,Bislol
Datasets\Medicines\words\Isovent_1_3802.png,Isovent
Datasets\Medicines\words\Rebamipide_1_2855.png,Rebamipide
Datasets\Medicines\words\Cotrimoxazole_1_3037.png,Cotrimoxazole
Datasets\Medicines\words\Claricin_1_301.png,Claricin
Datasets\Medicines\words\SinafreshLiquigel_1_186.png,SinafreshLiquigel
Datasets\Medicines\words\Tory_1_225.png,Tory
Datasets\Medicines\words\Methipred_1_1745.png,Methipred
Datasets\Medicines\words\FungilacCream_1_3332.png,FungilacCream
Datasets\Medicines\words\Losucon1_1_1769.png,Losucon1
Datasets\Medicines\words\CefotilPlus_1_1705.png,CefotilPlus
Datasets\Medicines\words\Rivotril_1_3425.png,Rivotril
Datasets\Medicines\words\CalcinD_1_192.png,CalcinD
Datasets\Medicines\words\Sulprex_1_113.png,Sulprex
Datasets\Medicines\words\Paracetamol_1_2766.png,Paracetamol
Datasets\Medicines\words\Xetril_1_1710.png,Xetril
Datasets\Medicines\words\TranexamicAcid_1_2399.png,TranexamicAcid
Datasets\Medicines\words\Azithromycin_1_2020.png,Azithromycin
Datasets\Medicines\words\Fluver_1_3587.png,Fluver
Datasets\Medicines\words\TranexamicAcid_1_2963.png,TranexamicAcid
Datasets\Medicines\words\Guiafenesin-Salbutamol_1_2817.png,Guiafenesin-Salbutamol
Datasets\Medicines\words\Zymet_1_140.png,Zymet
Datasets\Medicines\words\Allopurinol_1_2978.png,Allopurinol
Datasets\Medicines\words\CoAmoxiclav_1_2638.png,CoAmoxiclav
Datasets\Medicines\words\Algin_1_1209.png,Algin
Datasets\Medicines\words\TranexamicAcid_1_2479.png,TranexamicAcid
Datasets\Medicines\words\P-C_1_1310.png,P-C
Datasets\Medicines\words\Solas_1_1568.png,Solas
Datasets\Medicines\words\Cefalexin_1_2306.png,Cefalexin
Datasets\Medicines\words\Az_1_3920.png,Az
Datasets\Medicines\words\Cloram_1_4107.png,Cloram
Datasets\Medicines\words\Fexo_1_3340.png,Fexo
Datasets\Medicines\words\Amoxicillin_1_1850.png,Amoxicillin
Datasets\Medicines\words\Promtil_1_3751.png,Promtil
Datasets\Medicines\words\Glucose_1_723.png,Glucose
Datasets\Medicines\words\Gensulin_1_982.png,Gensulin
Datasets\Medicines\words\TiofoopAcecap_1_1285.png,TiofoopAcecap
Datasets\Medicines\words\Ibuprofen_1_2637.png,Ibuprofen
Datasets\Medicines\words\Doxorin_1_333.png,Doxorin
Datasets\Medicines\words\Cefalexin_1_2450.png,Cefalexin
Datasets\Medicines\words\Sergel_1_3737.png,Sergel
Datasets\Medicines\words\Bizoran_1_105.png,Bizoran
Datasets\Medicines\words\Naprosyn_1_1120.png,Naprosyn
Datasets\Medicines\words\VoltalinSR_1_3938.png,VoltalinSR
Datasets\Medicines\words\Oryx_1_3866.png,Oryx
Datasets\Medicines\words\Flontin_1_3595.png,Flontin
Datasets\Medicines\words\Cefalexin_1_2591.png,Cefalexin
Datasets\Medicines\words\Ofloxacin_1_2057.png,Ofloxacin
Datasets\Medicines\words\Cloxacillin_1_1859.png,Cloxacillin
Datasets\Medicines\words\Sultamicillin_1_2222.png,Sultamicillin
Datasets\Medicines\words\Clopid_1_3288.png,Clopid
Datasets\Medicines\words\LinaxPlus_1_983.png,LinaxPlus
Datasets\Medicines\words\Xyril_1_1573.png,Xyril
Datasets\Medicines\words\Amoxicillin_1_2397.png,Amoxicillin
Datasets\Medicines\words\Cotson_1_3257.png,Cotson
Datasets\Medicines\words\Amoxicillin_1_3084.png,Amoxicillin
Datasets\Medicines\words\Algin_1_1639.png,Algin
Datasets\Medicines\words\Azithromycin_1_3041.png,Azithromycin
Datasets\Medicines\words\Etorix_1_1743.png,Etorix
Datasets\Medicines\words\MentholSteamInhalation_1_3132.png,MentholSteamInhalation
Datasets\Medicines\words\MefenamicAcid_1_2920.png,MefenamicAcid
Datasets\Medicines\words\Cefalexin_1_2875.png,Cefalexin
Datasets\Medicines\words\CoAmoxiclav_1_1967.png,CoAmoxiclav
Datasets\Medicines\words\Ceftax_1_1330.png,Ceftax
Datasets\Medicines\words\Salbutamol_1_2451.png,Salbutamol
Datasets\Medicines\words\TPC_1_3173.png,TPC
Datasets\Medicines\words\Ciprofloxacin_1_2693.png,Ciprofloxacin
Datasets\Medicines\words\Cefuroxime_1_2009.png,Cefuroxime
Datasets\Medicines\words\Sergel_1_1731.png,Sergel
Datasets\Medicines\words\Rablet_1_3307.png,Rablet
Datasets\Medicines\words\Ceflin_1_1534.png,Ceflin
Datasets\Medicines\words\Trilock_1_865.png,Trilock
Datasets\Medicines\words\DonA_1_14.png,DonA
Datasets\Medicines\words\Nebanol_1_3304.png,Nebanol
Datasets\Medicines\words\Duphaston_1_402.png,Duphaston
Datasets\Medicines\words\Glucose_1_1628.png,Glucose
Datasets\Medicines\words\Zimax_1_1141.png,Zimax
Datasets\Medicines\words\AscorbicAcid_1_2563.png,AscorbicAcid
Datasets\Medicines\words\DDR_1_4027.png,DDR
Datasets\Medicines\words\Erythromycin_1_2838.png,Erythromycin
Datasets\Medicines\words\MefenamicAcid_1_2424.png,MefenamicAcid
Datasets\Medicines\words\MefenamicAcid_1_2435.png,MefenamicAcid
Datasets\Medicines\words\CasaltD_1_3500.png,CasaltD
Datasets\Medicines\words\Prednisolone_1_2602.png,Prednisolone
Datasets\Medicines\words\Amoxicillin_1_3034.png,Amoxicillin
Datasets\Medicines\words\CalboralD_1_1072.png,CalboralD
Datasets\Medicines\words\Phenylpropanolamine_1_3006.png,Phenylpropanolamine
Datasets\Medicines\words\Noclog_1_3544.png,Noclog
Datasets\Medicines\words\Sultamicillin_1_1826.png,Sultamicillin
Datasets\Medicines\words\NupralginPlus_1_643.png,NupralginPlus
Datasets\Medicines\words\CoAmoxiclav_1_2445.png,CoAmoxiclav
Datasets\Medicines\words\MarinCal-DX_1_1315.png,MarinCal-DX
Datasets\Medicines\words\MefenamicAcid_1_1917.png,MefenamicAcid
Datasets\Medicines\words\Amoxicillin_1_2570.png,Amoxicillin
Datasets\Medicines\words\Microgest_1_1643.png,Microgest
Datasets\Medicines\words\Cefuroxime_1_2051.png,Cefuroxime
Datasets\Medicines\words\MefenamicAcid_1_2427.png,MefenamicAcid
Datasets\Medicines\words\Insulatard_1_3462.png,Insulatard
Datasets\Medicines\words\Paracetamol_1_2857.png,Paracetamol
Datasets\Medicines\words\Ambroxol_1_2551.png,Ambroxol
Datasets\Medicines\words\Clopid_1_89.png,Clopid
Datasets\Medicines\words\Duocard_1_3539.png,Duocard
Datasets\Medicines\words\OralRehydrationSalt_1_2926.png,OralRehydrationSalt
Datasets\Medicines\words\TranexamicAcid_1_2085.png,TranexamicAcid
Datasets\Medicines\words\Noclog_1_4017.png,Noclog
Datasets\Medicines\words\AclizPlus_1_1398.png,AclizPlus
Datasets\Medicines\words\Relaxo_1_3973.png,Relaxo
Datasets\Medicines\words\Met_1_3967.png,Met
Datasets\Medicines\words\TranexamicAcid_1_2232.png,TranexamicAcid
Datasets\Medicines\words\Reoil_1_3448.png,Reoil
Datasets\Medicines\words\Cortan_1_867.png,Cortan
Datasets\Medicines\words\Omidon_1_3301.png,Omidon
Datasets\Medicines\words\Carbocisteine_1_1879.png,Carbocisteine
Datasets\Medicines\words\Emistat_1_1368.png,Emistat
Datasets\Medicines\words\AntacidPlus_1_3419.png,AntacidPlus
Datasets\Medicines\words\CloramOintment_1_3519.png,CloramOintment
Datasets\Medicines\words\Primrole_1_860.png,Primrole
Datasets\Medicines\words\Multivitamins-Iron_1_2203.png,Multivitamins-Iron
Datasets\Medicines\words\OralRehydrationSalt_1_2956.png,OralRehydrationSalt
Datasets\Medicines\words\Cefuroxime_1_2047.png,Cefuroxime
Datasets\Medicines\words\MefenamicAcid_1_2276.png,MefenamicAcid
Datasets\Medicines\words\CoralcalDX_1_1569.png,CoralcalDX
Datasets\Medicines\words\Paricel_1_939.png,Paricel
Datasets\Medicines\words\Alarup_1_3834.png,Alarup
Datasets\Medicines\words\Prelica_1_41.png,Prelica
Datasets\Medicines\words\XincB_1_1361.png,XincB
Datasets\Medicines\words\Meloxicam_1_2358.png,Meloxicam
Datasets\Medicines\words\Valestra_1_1180.png,Valestra
Datasets\Medicines\words\Ciprofloxacin_1_2835.png,Ciprofloxacin
Datasets\Medicines\words\Cinkara_1_1384.png,Cinkara
Datasets\Medicines\words\Carbocisteine_1_2191.png,Carbocisteine
Datasets\Medicines\words\Cefixime_1_2723.png,Cefixime
Datasets\Medicines\words\Recox_1_710.png,Recox
Datasets\Medicines\words\Solmux_1_1986.png,Solmux
Datasets\Medicines\words\Nebulization_1_3410.png,Nebulization
Datasets\Medicines\words\FurotilPlus_1_1147.png,FurotilPlus
Datasets\Medicines\words\OralRehydrationSalt_1_3010.png,OralRehydrationSalt
Datasets\Medicines\words\Furocef_1_1317.png,Furocef
Datasets\Medicines\words\Cotson_1_648.png,Cotson
Datasets\Medicines\words\Zinc_1_2966.png,Zinc
Datasets\Medicines\words\Ibuprofen_1_1839.png,Ibuprofen
Datasets\Medicines\words\Pantonix_1_1765.png,Pantonix
Datasets\Medicines\words\Azithromycin_1_3015.png,Azithromycin
Datasets\Medicines\words\Omidon_1_3817.png,Omidon
Datasets\Medicines\words\Aquafresh_1_3568.png,Aquafresh
Datasets\Medicines\words\Xalcort_1_3306.png,Xalcort
Datasets\Medicines\words\Carbocisteine_1_2078.png,Carbocisteine
Datasets\Medicines\words\Reversair_1_3917.png,Reversair
Datasets\Medicines\words\Furoclav_1_1388.png,Furoclav
Datasets\Medicines\words\LucanR_1_1017.png,LucanR
Datasets\Medicines\words\Rosuva_1_1652.png,Rosuva
Datasets\Medicines\words\Flexibac_1_3636.png,Flexibac
Datasets\Medicines\words\Calcium_1_2658.png,Calcium
Datasets\Medicines\words\Cortan_1_1589.png,Cortan
Datasets\Medicines\words\Atova_1_3812.png,Atova
Datasets\Medicines\words\Aceclofenac_1_2598.png,Aceclofenac
Datasets\Medicines\words\Abdolax_1_3385.png,Abdolax
Datasets\Medicines\words\Pantoprazole_1_2577.png,Pantoprazole
Datasets\Medicines\words\MefenamicAcid_1_2613.png,MefenamicAcid
Datasets\Medicines\words\Ezylife_1_15.png,Ezylife
Datasets\Medicines\words\Rosulin_1_1191.png,Rosulin
Datasets\Medicines\words\Paracetamol_1_2098.png,Paracetamol
Datasets\Medicines\words\Hemostan_1_2688.png,Hemostan
Datasets\Medicines\words\Zinc_1_2248.png,Zinc
Datasets\Medicines\words\Deproxen_1_918.png,Deproxen
Datasets\Medicines\words\CoAmoxiclav_1_2655.png,CoAmoxiclav
Datasets\Medicines\words\Amoxicillin_1_2614.png,Amoxicillin
Datasets\Medicines\words\Domin_1_502.png,Domin
Datasets\Medicines\words\Noclog_1_4073.png,Noclog
Datasets\Medicines\words\BrodilLevoHFA_1_1373.png,BrodilLevoHFA
Datasets\Medicines\words\Caldi_1_4101.png,Caldi
Datasets\Medicines\words\TicametInhaler_1_1213.png,TicametInhaler
Datasets\Medicines\words\Fenadin_1_1659.png,Fenadin
Datasets\Medicines\words\Ciprofloxacin_1_2554.png,Ciprofloxacin
Datasets\Medicines\words\Clavurox_1_847.png,Clavurox
Datasets\Medicines\words\Budicort_1_818.png,Budicort
Datasets\Medicines\words\CoAmoxiclav_1_1822.png,CoAmoxiclav
Datasets\Medicines\words\Emistat_1_906.png,Emistat
Datasets\Medicines\words\Neugaba_1_1031.png,Neugaba
Datasets\Medicines\words\Doxiva_1_3879.png,Doxiva
Datasets\Medicines\words\MaxproMups_1_1461.png,MaxproMups
Datasets\Medicines\words\Dicaltrol_1_3226.png,Dicaltrol
Datasets\Medicines\words\TamenTurbo_1_26.png,TamenTurbo
Datasets\Medicines\words\Ovulet_1_1290.png,Ovulet
Datasets\Medicines\words\Delanzo_1_294.png,Delanzo
Datasets\Medicines\words\Cefuroxime_1_2862.png,Cefuroxime
Datasets\Medicines\words\NeucosB_1_3261.png,NeucosB
Datasets\Medicines\words\CoAmoxiclav_1_2003.png,CoAmoxiclav
Datasets\Medicines\words\Clorocef_1_3997.png,Clorocef
Datasets\Medicines\words\Trego_1_3473.png,Trego
Datasets\Medicines\words\Napsod_1_1167.png,Napsod
Datasets\Medicines\words\Carbocisteine_1_3012.png,Carbocisteine
Datasets\Medicines\words\Fexofast_1_3932.png,Fexofast
Datasets\Medicines\words\Rolac_1_1413.png,Rolac
Datasets\Medicines\words\Lacor_1_7.png,Lacor
Datasets\Medicines\words\Hartsol_1_3374.png,Hartsol
Datasets\Medicines\words\DiamicronMR_1_3966.png,DiamicronMR
Datasets\Medicines\words\Algin_1_3234.png,Algin
Datasets\Medicines\words\X-Cold_1_1227.png,X-Cold
Datasets\Medicines\words\Cefalexin_1_2529.png,Cefalexin
Datasets\Medicines\words\Bilan_1_1438.png,Bilan
Datasets\Medicines\words\Fullcare_1_74.png,Fullcare
Datasets\Medicines\words\Rabemax_1_3186.png,Rabemax
Datasets\Medicines\words\Amoxicillin_1_2395.png,Amoxicillin
Datasets\Medicines\words\Ebatin_1_1266.png,Ebatin
Datasets\Medicines\words\Paricel_1_1604.png,Paricel
Datasets\Medicines\words\Omep_1_98.png,Omep
Datasets\Medicines\words\Paracetamol_1_2101.png,Paracetamol
Datasets\Medicines\words\Trumega_1_3387.png,Trumega
Datasets\Medicines\words\Clindacin_1_1586.png,Clindacin
Datasets\Medicines\words\Anuva_1_1565.png,Anuva
Datasets\Medicines\words\Domin_1_77.png,Domin
Datasets\Medicines\words\Cefalexin_1_2211.png,Cefalexin
Datasets\Medicines\words\TranexamicAcid_1_2582.png,TranexamicAcid
Datasets\Medicines\words\Etorix_1_3193.png,Etorix
Datasets\Medicines\words\Volibo_1_37.png,Volibo
Datasets\Medicines\words\Roxilab_1_1588.png,Roxilab
Datasets\Medicines\words\Viset_1_756.png,Viset
Datasets\Medicines\words\Cefalexin_1_2986.png,Cefalexin
Datasets\Medicines\words\HCG_1_1181.png,HCG
Datasets\Medicines\words\PronilDS_1_1016.png,PronilDS
Datasets\Medicines\words\Mupirocin_1_2318.png,Mupirocin
Datasets\Medicines\words\Sultamicillin_1_1955.png,Sultamicillin
Datasets\Medicines\words\CoAmoxiclav_1_1953.png,CoAmoxiclav
Datasets\Medicines\words\MefenamicAcid_1_2256.png,MefenamicAcid
Datasets\Medicines\words\Flexibac_1_257.png,Flexibac
Datasets\Medicines\words\ZoviaGold_1_1513.png,ZoviaGold
Datasets\Medicines\words\Paracetamol_1_2846.png,Paracetamol
Datasets\Medicines\words\Fenadin_1_3821.png,Fenadin
Datasets\Medicines\words\Telma_1_106.png,Telma
Datasets\Medicines\words\Acelex_1_815.png,Acelex
Datasets\Medicines\words\Carbocisteine_1_2776.png,Carbocisteine
Datasets\Medicines\words\Avolac_1_3694.png,Avolac
Datasets\Medicines\words\Utifos_1_1348.png,Utifos
Datasets\Medicines\words\CoAmoxiclav_1_2092.png,CoAmoxiclav
Datasets\Medicines\words\Zinc_1_2251.png,Zinc
Datasets\Medicines\words\Esipram_1_213.png,Esipram
Datasets\Medicines\words\MetacardMR_1_3813.png,MetacardMR
Datasets\Medicines\words\Cerox-CV_1_4054.png,Cerox-CV
Datasets\Medicines\words\Meloxicam_1_1832.png,Meloxicam
Datasets\Medicines\words\TPC_1_3732.png,TPC
Datasets\Medicines\words\ExiumMups_1_802.png,ExiumMups
Datasets\Medicines\words\Exor_1_1094.png,Exor
Datasets\Medicines\words\Clindamycin_1_3055.png,Clindamycin
Datasets\Medicines\words\Diasulin_1_3195.png,Diasulin
Datasets\Medicines\words\BexitrolF_1_1372.png,BexitrolF
Datasets\Medicines\words\Rabemax_1_3939.png,Rabemax
Datasets\Medicines\words\Finix_1_4038.png,Finix
Datasets\Medicines\words\AlgecalD_1_1533.png,AlgecalD
Datasets\Medicines\words\Naprosyn_1_626.png,Naprosyn
Datasets\Medicines\words\Androcap_1_1521.png,Androcap
Datasets\Medicines\words\Flutica_1_665.png,Flutica
Datasets\Medicines\words\Ceftriaid_1_3944.png,Ceftriaid
Datasets\Medicines\words\Azithromycin_1_1990.png,Azithromycin
Datasets\Medicines\words\Aceclofenac_1_2749.png,Aceclofenac
Datasets\Medicines\words\FungilacCream_1_3833.png,FungilacCream
Datasets\Medicines\words\Fexofast_1_4130.png,Fexofast
Datasets\Medicines\words\Mupirocin_1_2726.png,Mupirocin
Datasets\Medicines\words\Cefixime_1_2947.png,Cefixime
Datasets\Medicines\words\Cyclopan_1_4121.png,Cyclopan
Datasets\Medicines\words\Telide_1_1443.png,Telide
Datasets\Medicines\words\Lagundi_1_2767.png,Lagundi
Datasets\Medicines\words\Deflazit_1_1656.png,Deflazit
Datasets\Medicines\words\Clopid_1_3310.png,Clopid
Datasets\Medicines\words\Celecoxib_1_1817.png,Celecoxib
Datasets\Medicines\words\Neobion_1_42.png,Neobion
Datasets\Medicines\words\Docopa_1_3793.png,Docopa
Datasets\Medicines\words\Acetylcysteine_1_2021.png,Acetylcysteine
Datasets\Medicines\words\Finix_1_3105.png,Finix
Datasets\Medicines\words\Methigic_1_988.png,Methigic
Datasets\Medicines\words\Bactrocin_1_456.png,Bactrocin
Datasets\Medicines\words\Seasonix_1_3368.png,Seasonix
Datasets\Medicines\words\TranexamicAcid_1_1852.png,TranexamicAcid
Datasets\Medicines\words\AcePlus_1_3872.png,AcePlus
Datasets\Medicines\words\Hydrocortisone_1_2788.png,Hydrocortisone
Datasets\Medicines\words\TranexamicAcid_1_2287.png,TranexamicAcid
Datasets\Medicines\words\MefenamicAcid_1_1977.png,MefenamicAcid
Datasets\Medicines\words\ReefcalKit_1_3708.png,ReefcalKit
Datasets\Medicines\words\Thyrox_1_779.png,Thyrox
Datasets\Medicines\words\Azithromycin_1_2608.png,Azithromycin
Datasets\Medicines\words\Ciprofloxacin_1_2808.png,Ciprofloxacin
Datasets\Medicines\words\Neurobest_1_529.png,Neurobest
Datasets\Medicines\words\Clozapine_1_2588.png,Clozapine
Datasets\Medicines\words\Famodin_1_3919.png,Famodin
Datasets\Medicines\words\Famotid_1_1657.png,Famotid
Datasets\Medicines\words\Cefalexin_1_2006.png,Cefalexin
Datasets\Medicines\words\Longpara_1_560.png,Longpara
Datasets\Medicines\words\Xelpro_1_3142.png,Xelpro
Datasets\Medicines\words\Sergel_1_3209.png,Sergel
Datasets\Medicines\words\Acos_1_693.png,Acos
Datasets\Medicines\words\Motigut_1_1620.png,Motigut
Datasets\Medicines\words\Turboclav_1_3414.png,Turboclav
Datasets\Medicines\words\Docopa_1_3341.png,Docopa
Datasets\Medicines\words\Aceclofenac_1_3087.png,Aceclofenac
Datasets\Medicines\words\Rupa_1_1789.png,Rupa
Datasets\Medicines\words\Cfresh_1_3657.png,Cfresh
Datasets\Medicines\words\O2Inhalation_1_1077.png,O2Inhalation
Datasets\Medicines\words\Flexi_1_3242.png,Flexi
Datasets\Medicines\words\Geston_1_752.png,Geston
Datasets\Medicines\words\Aceclofenac_1_1926.png,Aceclofenac
Datasets\Medicines\words\HPR-DS_1_3748.png,HPR-DS
Datasets\Medicines\words\Rosuva_1_933.png,Rosuva
Datasets\Medicines\words\Reversair_1_334.png,Reversair
Datasets\Medicines\words\Finix_1_609.png,Finix
Datasets\Medicines\words\Rocipro_1_1153.png,Rocipro
Datasets\Medicines\words\Pericon_1_1304.png,Pericon
Datasets\Medicines\words\Fexo_1_747.png,Fexo
Datasets\Medicines\words\Flunarizine_1_3121.png,Flunarizine
Datasets\Medicines\words\AlgecalDX_1_1278.png,AlgecalDX
Datasets\Medicines\words\NapaExtra_1_3909.png,NapaExtra
Datasets\Medicines\words\CoAmoxiclav_1_2060.png,CoAmoxiclav
Datasets\Medicines\words\XpaXR_1_4129.png,XpaXR
Datasets\Medicines\words\Acyclovir_1_1988.png,Acyclovir
Datasets\Medicines\words\Vaxtin_1_3599.png,Vaxtin
Datasets\Medicines\words\Vergon_1_3767.png,Vergon
Datasets\Medicines\words\Acetylcysteine_1_2035.png,Acetylcysteine
Datasets\Medicines\words\Etorix_1_4111.png,Etorix
Datasets\Medicines\words\Doxiva_1_3330.png,Doxiva
Datasets\Medicines\words\Cevit_1_4113.png,Cevit
Datasets\Medicines\words\Peloxi_1_3153.png,Peloxi
Datasets\Medicines\words\Metnil_1_84.png,Metnil
Datasets\Medicines\words\Levoxin_1_18.png,Levoxin
Datasets\Medicines\words\Renxit_1_407.png,Renxit
Datasets\Medicines\words\MefenamicAcid_1_2962.png,MefenamicAcid
Datasets\Medicines\words\Sergel_1_1224.png,Sergel
Datasets\Medicines\words\OralRehydrationSalt_1_2709.png,OralRehydrationSalt
Datasets\Medicines\words\Domin_1_3676.png,Domin
Datasets\Medicines\words\Rafex_1_4109.png,Rafex
Datasets\Medicines\words\Brom_1_3555.png,Brom
Datasets\Medicines\words\Azithromycin_1_2603.png,Azithromycin
Datasets\Medicines\words\Gliclid_1_3184.png,Gliclid
